cluster_id,cluster,mode,crop,water_regime,inherited_input_label,v30_status,activity_upper,yield_2020,inherited_yield_2021,v30_yield_2021,inherited_yield_2025,v30_yield_2025,v30_yield_2050,after_2020_rule
TEC_ckkki,LNDAGRPHLC04,18,sugarcane,rainfed,low,inactive_unsupported_pair,1e-06,3.3883923536512275,3.465654687199924,3.465654687199924,2.5844308534699634,2.5844308534699634,3.3143568153995777,inactive
TEC_ckkki,LNDAGRPHLC04,19,rice_irrig,irrigated,high,active_observed_cost_system,99999,1.1349831082562607,1.1471845943664067,1.1477120850030866,1.1343390350017069,1.1986279919903902,1.4458039384108958,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,20,coconut,rainfed,low,inactive_unsupported_pair,1e-06,0.1171393542159445,0.11911204925505378,0.11911204925505378,0.11578439766749622,0.11578439766749622,0.14848561609259595,inactive
TEC_ckkki,LNDAGRPHLC04,21,other,irrigated,low,inactive_unsupported_pair,1e-06,0.43389781718781395,0.43389781718781395,0.43389781718781395,0.4382367953596921,0.4382367953596921,0.5620088877630893,inactive
TEC_ckkki,LNDAGRPHLC04,22,other,irrigated,high,active_observed_cost_system,99999,1.1751399215503295,1.1751399215503295,1.186855778242154,1.186891320765833,1.2337192050094523,1.4267631132637222,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,23,other,rainfed,low,inactive_unsupported_pair,1e-06,0.43389781718781395,0.43389781718781395,0.43389781718781395,0.4382367953596921,0.4382367953596921,0.5620088877630893,inactive
TEC_ckkki,LNDAGRPHLC04,24,other,rainfed,high,active_observed_cost_system,99999,1.1751399215503295,1.1751399215503295,1.186855778242154,1.186891320765833,1.2337192050094523,1.4267631132637222,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,1,vegetables,rainfed,high,active_observed_cost_system,99999,1.716580306986022,1.716580306986022,1.7340851314362722,1.7337461100558822,1.8041044292372717,2.1769971834753727,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,2,coconut,irrigated,low,inactive_unsupported_pair,1e-06,0.234278708431889,0.23822409851010756,0.23822409851010756,0.23156879533499244,0.23156879533499244,0.2969712321851919,inactive
TEC_1ky0a,LNDAGRPHLC05,3,sugarcane,rainfed,high,active_observed_cost_system,99999,8.416329394553049,8.60823906175465,8.481338629077571,6.419392765070554,8.741375567175652,9.732528493933453,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,4,maize,rainfed,high,active_observed_cost_system,99999,0.5077501003419951,0.5160854200375147,0.5171162981950973,0.534426601613715,0.5545810896075064,0.7681644595595222,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,5,vegetables,irrigated,high,active_observed_cost_system,99999,1.859628665901524,1.859628665901524,1.8785834762932738,1.8782249525605392,1.9544027178602728,2.3582386457520315,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,6,sugarcane,irrigated,high,active_observed_cost_system,99999,8.416329394553049,8.60823906175465,8.485516442566798,6.419392765070554,8.762264634621795,9.87787971431158,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,7,maize,irrigated,low,inactive_unsupported_pair,1e-06,0.2123318601430161,0.21581753928841524,0.21581753928841524,0.22348748794755355,0.22348748794755355,0.2866075050299711,inactive
TEC_1ky0a,LNDAGRPHLC05,8,coconut,rainfed,high,active_observed_cost_system,99999,0.7865070925927701,0.7997523307125038,0.7930544395853012,0.777409527196046,0.8192438275554259,0.9404541682968124,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,9,sugarcane,irrigated,low,inactive_unsupported_pair,1e-06,3.1697863953511485,3.2420640622192836,3.2420640622192836,2.417693379052546,2.417693379052546,3.1005273434383147,inactive
TEC_1ky0a,LNDAGRPHLC05,10,maize,irrigated,high,active_observed_cost_system,99999,0.5169819203482132,0.525468791310924,0.5265184127077355,0.5441434489157826,0.5646643821458248,0.782131086096968,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,11,rice_rain,rainfed,high,active_observed_cost_system,99999,0.5354546913220601,0.5496390741301661,0.5412593088748585,0.5583058111942049,0.5644777790860516,0.6745442221839799,FAO_BAU_2050_rebased_to_2020
TEC_1ky0a,LNDAGRPHLC05,12,vegetables,rainfed,low,inactive_unsupported_pair,1e-06,0.7152417945775091,0.7152417945775091,0.7152417945775091,0.7223942125232843,0.7223942125232843,0.9264214511551391,inactive
TEC_1ky0a,LNDAGRPHLC05,13,vegetables,irrigated,low,inactive_unsupported_pair,1e-06,0.7152417945775091,0.7152417945775091,0.7152417945775091,0.7223942125232843,0.7223942125232843,0.9264214511551391,inactive
