REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2027,S2D1,61.3211525
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2027,S1D2,61.3211525
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2027,S1D1,61.3211525
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2027,S2D2,20.95822
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2027,S2D1,24.528461
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2027,S1D2,24.528461
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2027,S1D1,24.528461
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2028,S2D2,49.8214075
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2028,S2D1,62.176
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2028,S1D2,62.176
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2028,S1D1,62.176
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2028,S2D2,19.928563
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2028,S2D1,24.8704
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2028,S1D2,24.8704
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2028,S1D1,24.8704
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2029,S2D2,47.2480325
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2029,S2D1,63.0305925
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2029,S1D2,63.0305925
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2029,S1D1,63.0305925
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2029,S2D2,18.899213
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2029,S2D1,25.212237
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2029,S1D2,25.212237
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2029,S1D1,25.212237
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2030,S2D2,44.6738925
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2030,S2D1,63.885439999999996
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2030,S1D2,63.885439999999996
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2030,S1D1,63.885439999999996
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2030,S2D2,17.869557
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2030,S2D1,25.554176
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2030,S1D2,25.554176
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2030,S1D1,25.554176
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2031,S2D2,42.29409750000001
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2031,S2D1,64.67574499999999
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2031,S1D2,64.67574499999999
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2031,S1D1,64.67574499999999
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2031,S2D2,16.917639
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2031,S2D1,25.870298
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2031,S1D2,25.870298
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2031,S1D1,25.870298
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2032,S2D2,65.466305
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2032,S2D1,65.466305
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2032,S1D2,65.466305
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2032,S1D1,40.05623
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2032,S2D2,26.186522
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2032,S2D1,26.186522
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2032,S1D2,26.186522
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2032,S1D1,16.022492
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2033,S2D2,37.53374
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2033,S2D1,66.2566125
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2033,S1D2,66.2566125
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2033,S1D1,66.2566125
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2033,S2D2,15.013496
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2033,S2D1,26.502645
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2033,S1D2,26.502645
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2033,S1D1,26.502645
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2034,S2D2,35.153945
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2034,S2D1,67.0469175
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2034,S1D2,67.0469175
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2034,S1D1,67.0469175
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2034,S2D2,14.061578
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2034,S2D1,26.818767
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2034,S1D2,26.818767
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2034,S1D1,26.818767
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2035,S2D2,32.773382500000004
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2035,S2D1,67.83748
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2035,S1D2,67.83748
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2035,S1D1,67.83748
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2035,S2D2,13.109353
